"Physical Time (s)","Fill Efficiency Monitor: Fill Efficiency Monitor"
0.1,0.0021772959084666605
1.0,0.0022071543494926156
3.5,0.0029582935605492067
5.25,0.004080095050941739
6.25,0.004884250553628056
6.875,0.005432347194160156
7.5,0.00601306616567666
8.125,0.00662128088946828
8.75,0.007238599687701888
9.375,0.007852062168181455
10.25,0.008697281695584192
11.5,0.009874099645948122
12.75,0.010997586337285297
14.0,0.012055286189726943
15.25,0.013059546543115736
17.5,0.014773114912361962
20.0,0.016566748194468482
22.5,0.01827263578544179
25.0,0.01991796126708276
27.5,0.021508574310668997
30.0,0.02305155480478893
32.0,0.02426092048531758
33.25,0.025007905542369056
35.5,0.026337469278158693
38.0,0.027789568852737815
40.0,0.02892769431484292
42.5,0.03032111484545925
45.0,0.03169165175750678
47.5,0.033039923751719595
50.0,0.03436100348962361
52.5,0.03566010341923038
55.0,0.036938042722047225
57.0,0.037944956908450574
58.5,0.038693504950860144
59.75,0.039312640417665544
61.5,0.04017197829565317
64.0,0.04138272070077514
66.5,0.042572181128909876
69.0,0.0437426226014008
71.5,0.04489826727387597
74.0,0.04604122198792018
76.5,0.04717333714254486
79.0,0.048294170489397034
81.5,0.04940577162029057
84.0,0.05050784348152271
86.5,0.05159742116456097
89.0,0.05267704884748189
91.5,0.05374592774563349
94.0,0.054810205448066
96.5,0.0558682417162447
99.0,0.05692061473303234
101.5,0.05796658839581511
104.0,0.059010963501522934
106.5,0.06005198876187429
109.0,0.06108901992335626
111.5,0.06212116267748615
114.0,0.0631483394897082
116.5,0.06417025247393071
119.0,0.0651861386987377
121.5,0.06619134203942999
124.0,0.06719143082194574
126.5,0.06819005982405224
129.0,0.069187095492124
131.5,0.07018258211751396
134.0,0.07117282387262255
136.5,0.07216146874546692
139.5,0.07334517038202651
142.0,0.074328017055157
144.5,0.07530474692077303
147.0,0.07627705947208602
149.5,0.07725067260047556
152.0,0.07821981589207751
154.5,0.07918329136806052
157.0,0.08014318436878376
159.5,0.08110130237991486
162.0,0.08205702387625417
164.5,0.08300587914375761
167.0,0.08395186808865726
169.5,0.08489191407661749
172.0,0.0858231654796366
174.5,0.08674829210835994
177.0,0.08767377116530631
