"Physical Time (s)","Fill Efficiency Monitor: Fill Efficiency Monitor"
0.1,0.002174919915401514
0.4,0.0021729373037743705
1.5,0.0022712716725387565
3.0,0.002716894267585842
4.75,0.0037174231713476584
5.5,0.004265357914794531
6.125,0.004772658345181642
6.625,0.005203060569671183
7.0,0.005539229119200349
7.375,0.005887393465527692
7.875,0.006368591346186499
8.25,0.006736856571292147
8.625,0.007106928945144921
9.125,0.0075989751759566225
9.5,0.007964466353692213
10.0,0.008448055037657196
11.0,0.009396864206959678
11.75,0.010092713361222624
12.5,0.01076637445089531
13.5,0.011625858876534634
14.25,0.01224597419316445
15.0,0.01284755451335131
16.0,0.013627725490778272
16.75,0.014199760382658714
18.0,0.015127519355313082
20.0,0.016551747085921543
21.5,0.017581220774909416
23.0,0.01858911345945401
25.0,0.019898917108363227
26.5,0.020858374849505045
28.0,0.021799556676444683
30.0,0.023029091602551722
31.5,0.023936767616249802
32.25,0.02438674965470213
33.25,0.02498310839665489
34.5,0.02572320521994521
36.0,0.026603383360461568
38.0,0.027761601725652736
39.25,0.028475748625094745
40.5,0.029179741003757576
42.5,0.03029091383116165
44.0,0.031114671596769335
45.5,0.031931205808262114
47.5,0.03300655316021646
49.0,0.033801260988710995
50.5,0.03458772293197668
52.5,0.03562403704386567
54.0,0.036392667945903234
55.5,0.03715311192635392
57.0,0.037906577352146274
57.75,0.038281124848607934
58.5,0.03865425634831496
59.5,0.03914943854374159
60.25,0.039518920460278134
61.5,0.04013137369825615
63.25,0.04098041999741267
64.5,0.04158052303134398
66.0,0.04229334201675494
68.0,0.04323244725219162
69.5,0.0439296916842802
71.0,0.04462258194244171
73.0,0.0455393424070737
74.5,0.04622147582410224
76.0,0.04689976339863907
78.0,0.047797752037256794
79.5,0.0484675802364007
81.0,0.04913371841928179
83.0,0.050017101343403425
84.5,0.050674642709175655
86.0,0.05132712786110199
88.0,0.05219206336121625
89.5,0.05283631507591407
91.0,0.05347681610064571
93.0,0.05432776043797792
94.5,0.054963726905191204
96.0,0.05559746748657067
98.0,0.056440398347115714
99.5,0.0570686757170254
101.0,0.057695311467261784
103.0,0.05853064694153436
104.5,0.05915606905852763
106.0,0.05978001086926331
108.0,0.060609664999889686
109.5,0.06123018432850856
111.0,0.061848792840401
113.0,0.0626709137257363
114.5,0.06328498924263046
116.0,0.06389715009663723
118.0,0.06471106758155608
119.5,0.06531723771387683
121.0,0.06591932958783399
123.0,0.0667185639522465
124.5,0.06731769021304573
126.0,0.06791620428906836
128.0,0.06871314617733526
129.5,0.06931099328021278
131.0,0.06990783804311919
133.0,0.07069979760515464
134.5,0.07129319259367385
136.0,0.07188570173460146
138.0,0.07267458810665992
139.5,0.07326552456067699
141.0,0.07385524354038317
143.0,0.07463833999052424
144.5,0.07522243011971333
146.0,0.07580462098171498
148.0,0.07658258052297323
149.5,0.07716576624537445
151.0,0.07774728385218564
153.0,0.07851872131762022
154.5,0.07909487472103927
156.0,0.0796701279335881
158.0,0.08043718344573988
159.5,0.08101113462377794
161.0,0.08158436724107603
163.0,0.08234620879510698
164.5,0.08291282141822595
166.0,0.08347912147311573
168.0,0.08423226571020292
169.5,0.0847949407852283
171.0,0.08535421522169559
173.0,0.0860955680500568
174.5,0.08664986723781802
176.0,0.08720503711681343
178.0,0.08794370657337779
179.5,0.088496038396692
181.0,0.08904665185458494
183.0,0.08977771323076325
184.5,0.09032494420753086
186.0,0.09087209900120015
188.0,0.0916001980405495
189.5,0.09214577181089888
191.0,0.0926902702397012
193.0,0.09341207787045092
194.5,0.0939533377375688
196.0,0.09449450651944996
198.0,0.09521496469176244
199.5,0.09575453761518327
201.0,0.09629373153385629
203.0,0.09701148894167586
204.5,0.09754802468735707
206.0,0.09808291377441686
208.0,0.0987943546324497
209.5,0.09932667122095172
211.0,0.09985845073828273
213.0,0.10056671006206516
214.5,0.10109587640774167
216.0,0.10162392915959216
218.0,0.1023274717068343
219.5,0.10285499267028592
221.0,0.10338260893591991
223.0,0.10408495456126628
224.5,0.10461063487784254
226.0,0.10513595280971832
228.0,0.1058351938939462
229.5,0.10635833917976106
231.0,0.1068802442933731
