"Physical Time (s)","Fill Efficiency Monitor: Fill Efficiency Monitor"
0.1,0.002174919021668256
0.4,0.002172989066608177
2.0,0.002375050280761209
4.0,0.0032347336151201693
5.0,0.003893139192908142
6.0,0.004669066031277168
6.5,0.005094160987443843
6.875,0.005426334205534536
7.375,0.005887861530950597
7.875,0.006368664657846378
8.25,0.006736934411447142
8.75,0.007230429346538805
9.25,0.007721379670410748
9.625,0.008086172191625255
10.5,0.008925821336980371
11.5,0.009863773246482034
12.25,0.010545942951700315
13.25,0.011415939311777517
14.25,0.012247551842978124
15.0,0.012849333426267196
16.0,0.01363017507705427
17.0,0.014390635790125469
17.75,0.01494868968659425
18.75,0.015676242832468698
19.75,0.016385793008478335
20.75,0.017079592608133076
21.5,0.01759253239198019
22.5,0.018268426945519254
23.5,0.018934425032678344
24.25,0.019427279500349167
25.5,0.020236974871676378
27.5,0.021503902219565177
29.0,0.022433883713013664
31.0,0.023652542452838207
32.25,0.024403683664273902
33.0,0.024851396397542684
34.25,0.02559289367252373
36.0,0.02662099650232811
37.5,0.027492000444488025
39.0,0.02835185495682889
41.0,0.029477019249468845
42.5,0.03030870300047591
44.5,0.031405818698899676
46.5,0.03248886565180335
48.0,0.03329051828139017
50.0,0.034344777445033725
52.0,0.03538480721539186
53.5,0.03615590243706365
55.5,0.03717166506356378
56.75,0.03779999048797757
57.75,0.038299457670710586
58.5,0.03867256386587898
59.5,0.03916766817966968
60.5,0.03966004867949015
62.0,0.04039294343865232
64.0,0.04135919861930681
66.0,0.04231149395595963
67.5,0.04301761686216326
69.5,0.04394868168202104
71.5,0.04487196521840476
73.0,0.04555906931402598
75.0,0.04646812288093738
77.0,0.04737049197614948
78.5,0.048042301412525766
80.5,0.04893325980901243
82.5,0.04981849856172418
84.0,0.050477107969955116
86.0,0.051348157210328774
88.0,0.052213495264226965
89.5,0.05285787563199099
91.5,0.053711311960554016
93.5,0.05456207995402716
95.5,0.055408212201425604
97.0,0.056041542564806694
99.0,0.0568816135032669
101.0,0.05771772284475802
102.5,0.05834453372438182
104.5,0.05917887207002015
106.5,0.06001113507730038
108.0,0.060633747895597924
110.0,0.06146113644815177
112.0,0.06228423162042071
113.5,0.06289961657522142
115.5,0.06371744918654437
117.5,0.06453287852697331
119.0,0.0651397695825658
121.0,0.06594346200871012
123.0,0.06674313399954088
124.5,0.06734254556267825
126.5,0.06814105177850333
128.5,0.06893739783292847
130.0,0.06953443302259778
132.0,0.07032736476034925
134.0,0.07111776171514755
135.5,0.07170997959635708
137.5,0.07249867067233633
139.5,0.07328642304337207
141.5,0.07407140498384243
143.0,0.07465828847314149
145.0,0.07543600720522717
147.0,0.07621192964025687
148.5,0.07679558908270277
150.5,0.07757218582064056
152.5,0.07834487128909554
154.0,0.07892222345366187
156.0,0.07968932930670261
158.0,0.08045608652643946
159.5,0.08102990221266242
161.5,0.08179357596914019
163.5,0.08255319482075725
165.0,0.08312069367216064
167.0,0.08387659192955206
169.0,0.08462798076868899
170.5,0.08518790860420493
172.5,0.08592882738196843
174.5,0.08666811024992632
176.0,0.08722350742988745
178.0,0.08796253822083505
180.0,0.08869848049734025
182.0,0.08943026113488385
183.5,0.08997744960870224
185.5,0.09070614737116686
187.5,0.0914341390146682
189.0,0.09197920270807737
191.0,0.09270487320326745
193.0,0.09342603113011658
194.5,0.09396683724714074
196.5,0.09468748039958955
198.5,0.09540673229488483
200.0,0.09594514307549373
202.0,0.09666186635581903
204.0,0.09737693784685071
205.5,0.09791186724592267
207.5,0.09862353644899848
209.5,0.0993331081053615
211.0,0.09986448590153421
213.0,0.10057166982026122
215.0,0.10127612108971745
216.5,0.10180369255259829
218.5,0.10250666628312759
220.5,0.1032096390106442
222.0,0.10373622916791864
224.0,0.10443670276820625
226.0,0.10513673631355828
228.0,0.10583574313833649
229.5,0.10635868069014501
231.5,0.10705376949914586
233.5,0.10774656762277988
235.0,0.10826512711826436
237.0,0.10895617145951801
239.0,0.10964597571869365
240.5,0.11016220982746766
242.5,0.11084947620700356
244.5,0.11153522015338876
246.0,0.11204863767271012
248.0,0.11273248896700842
250.0,0.11341374539210354
251.5,0.11392335749888463
253.5,0.11460229166839563
255.5,0.11528012723862992
257.0,0.11578764726667062
259.0,0.11646351347972797
261.0,0.11713851409505745
262.5,0.11764407057725908
264.5,0.11831560181505868
266.5,0.11898541887774412
268.5,0.11965406079811841
270.0,0.12015442196109462
272.0,0.12081926182964307
274.0,0.12148357026022677
275.5,0.12198191899841397
277.5,0.12264607516134958
279.5,0.1233091710510958
281.0,0.12380550508859009
283.0,0.12446637619877741
285.0,0.12512584364768725
286.5,0.1256199990897126
288.5,0.12627746385403393
290.5,0.12693409920035392
292.0,0.1274264790236107
294.0,0.1280827467946705
296.0,0.1287378462636589
297.5,0.12922852197544704
299.5,0.12988181632029466
301.5,0.1305341546570175
303.0,0.13102270104590785
305.0,0.13167259696977626
307.0,0.1323215430553473
308.5,0.13280816324672742
310.5,0.13345684840350383
312.5,0.13410469307977732
314.5,0.13475146507271385
316.0,0.13523614484579116
318.0,0.13588133701974528
320.0,0.13652550266107116
321.5,0.13700808597484443
323.5,0.13765037124720075
325.5,0.13829197703348373
327.0,0.13877264018612234
329.0,0.1394129001158357
331.0,0.14005195034507564
332.5,0.14053044930839134
334.5,0.1411670221164021
336.5,0.14180294786179537
338.0,0.14227980779295082
340.0,0.14291466416591941
342.0,0.14354902628639457
343.5,0.14402444896444455
345.5,0.14465723200470795
347.5,0.14528895989985122
349.0,0.14576214207598706
351.0,0.14639212844575145
353.0,0.14702154877821813
355.0,0.1476501994651799
356.5,0.14812105793351374
358.5,0.1487490678378513
360.5,0.1493761957588049
362.0,0.1498463119264824
364.0,0.1504723137165112
366.0,0.15109685573014095
367.5,0.15156418318011472
369.5,0.1521858802813375
371.5,0.1528063539194233
373.0,0.15327112855216685
375.0,0.1538897061318831
377.0,0.1545075056349323
378.5,0.15497184257491137
380.5,0.15559136968655807
382.5,0.15621104503496952
384.0,0.1566756440145835
386.0,0.1572946878960094
388.0,0.15791367900035422
389.5,0.1583778429629125
391.5,0.15899701156312052
393.5,0.15961633588442167
395.0,0.16008035219968117
397.0,0.1606990390637136
399.0,0.1613171469217541
401.0,0.16193484780684053
402.5,0.1623974653995052
404.5,0.16301253706507082
406.5,0.16362672543565462
408.0,0.16408695307614832
410.0,0.16469987556771576
412.0,0.16531157139761768
413.5,0.1657692096414037
415.5,0.16637926173349923
417.5,0.16698960173164318
419.0,0.1674470710092725
421.0,0.1680559900830893
423.0,0.1686636631711561
424.5,0.16911844945099594
426.5,0.16972375044647464
428.5,0.17032773692586362
430.0,0.170779713726179
432.0,0.17138033878557526
434.0,0.17197998997181088
435.5,0.17242944977170874
437.5,0.17302888244246212
439.5,0.17362856138354874
441.5,0.1742286521874439
443.0,0.17467921773061887
445.0,0.17528005687376333
447.0,0.1758800736051879
448.5,0.17632958130256457
450.5,0.1769290844607992
452.5,0.17752829667698533
454.0,0.17797802509763683
456.0,0.17857841109395808
458.0,0.17917928168636038
459.5,0.1796298103521842
461.5,0.1802298746368687
463.5,0.18082858400415172
465.0,0.18127710359110727
467.0,0.18187481713145187
469.0,0.18247212966990592
470.5,0.1829197062361651
472.5,0.18351596340363624
474.5,0.18411126943099118
476.0,0.1845570318179506
478.0,0.18515117320102384
480.0,0.1857458017514906
481.5,0.18619234280464592
483.5,0.1867879567241577
485.5,0.1873834809888728
487.5,0.1879786985268681
489.0,0.18842456482717196
491.0,0.18901936671674646
493.0,0.1896151614249212
494.5,0.19006267515280414
496.5,0.19065944940702875
498.5,0.19125592360029897
500.0,0.19170321530585466
502.0,0.1922994564591021
504.0,0.192895337925493
505.5,0.193342565260865
507.5,0.1939392723624118
509.5,0.19453557901387591
511.0,0.1949822745910305
513.0,0.19557683619958632
515.0,0.1961706856266754
516.5,0.196615725208344
518.5,0.19720862841763417
520.5,0.1978012653031132
